  Source.cpp
E:\Новая папка\Project1\Source.cpp(7,5): error C4235: использовано нестандартное расширение: ключевое слово "__asm" данной архитектурой не поддерживается
E:\Новая папка\Project1\Source.cpp(8,9): error C2065: mov: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(8,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "ecx"
E:\Новая папка\Project1\Source.cpp(8,13): error C2065: ecx: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(8,28): error C2065: Load: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(8,33): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "len"
E:\Новая папка\Project1\Source.cpp(8,37): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "into"
E:\Новая папка\Project1\Source.cpp(8,37): error C2065: into: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(8,42): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "counter"
E:\Новая папка\Project1\Source.cpp(8,51): error C2065: changed: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(8,59): error C2146: синтаксическая ошибка: отсутствие ")" перед идентификатором "from"
E:\Новая папка\Project1\Source.cpp(8,42): error C3861: counter: идентификатор не найден
E:\Новая папка\Project1\Source.cpp(8,59): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "from"
E:\Новая папка\Project1\Source.cpp(8,59): error C2065: from: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(8,64): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "size"
E:\Новая папка\Project1\Source.cpp(8,68): error C2059: синтаксическая ошибка: )
E:\Новая папка\Project1\Source.cpp(9,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mov"
E:\Новая папка\Project1\Source.cpp(8,64): warning C4551: в вызове функции отсутствует список аргументов
E:\Новая папка\Project1\Source.cpp(9,9): error C2065: mov: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "esi"
E:\Новая папка\Project1\Source.cpp(9,13): error C2065: esi: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,28): error C2065: Load: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,33): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "array"
E:\Новая папка\Project1\Source.cpp(10,9): error C2143: синтаксическая ошибка: отсутствие ";" перед "^"
E:\Новая папка\Project1\Source.cpp(9,39): error C2079: "address" использует не имеющую определения структуру class "std::array"
E:\Новая папка\Project1\Source.cpp(9,13): error C2065: eax: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,16): error C3192: синтаксическая ошибка: "^" не является префиксным оператором (возможно, имелось в виду "*"?)
E:\Новая папка\Project1\Source.cpp(9,18): error C2065: eax: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,28): error C2065: Clear: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,34): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "accumulator"
E:\Новая папка\Project1\Source.cpp(9,34): error C2065: accumulator: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(9,46): error C2143: синтаксическая ошибка: отсутствие ";" перед "for"
E:\Новая папка\Project1\Source.cpp(9,50): error C2061: синтаксическая ошибка: идентификатор "counting"
E:\Новая папка\Project1\Source.cpp(13,35): error C2065: Compare: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(13,43): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "array"
E:\Новая папка\Project1\Source.cpp(13,49): error C2079: "element" использует не имеющую определения структуру class "std::array"
E:\Новая папка\Project1\Source.cpp(13,57): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "with"
E:\Новая папка\Project1\Source.cpp(13,57): error C2065: with: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(13,62): error C2143: синтаксическая ошибка: отсутствие ";" перед "константа"
E:\Новая папка\Project1\Source.cpp(14,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "jne"
E:\Новая папка\Project1\Source.cpp(14,9): error C2065: jne: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(14,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "skip_count"
E:\Новая папка\Project1\Source.cpp(14,13): error C2065: skip_count: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(14,35): error C2065: Skip: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(14,40): error C2143: синтаксическая ошибка: отсутствие ";" перед "if"
E:\Новая папка\Project1\Source.cpp(14,43): error C2059: синтаксическая ошибка: !
E:\Новая папка\Project1\Source.cpp(15,35): error C2065: Increment: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(15,45): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "counter"
E:\Новая папка\Project1\Source.cpp(15,45): error C2065: counter: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(15,53): error C2143: синтаксическая ошибка: отсутствие ";" перед "if"
E:\Новая папка\Project1\Source.cpp(15,56): error C2061: синтаксическая ошибка: идентификатор "zero"
E:\Новая папка\Project1\Source.cpp(18,34): error C2065: Move: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,39): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "to"
E:\Новая папка\Project1\Source.cpp(18,39): error C2065: to: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,42): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "next"
E:\Новая папка\Project1\Source.cpp(18,47): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "array"
E:\Новая папка\Project1\Source.cpp(18,42): warning C4551: в вызове функции отсутствует список аргументов
E:\Новая папка\Project1\Source.cpp(18,53): error C2079: "element" использует не имеющую определения структуру class "std::array"
E:\Новая папка\Project1\Source.cpp(19,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "loop"
E:\Новая папка\Project1\Source.cpp(19,9): error C2065: loop: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,14): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "loop_start"
E:\Новая папка\Project1\Source.cpp(18,14): error C2065: loop_start: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,34): error C2065: Decrement: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,44): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "ecx"
E:\Новая папка\Project1\Source.cpp(18,44): error C2065: ecx: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,52): error C2065: loop: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(18,57): error C2143: синтаксическая ошибка: отсутствие ";" перед "if"
E:\Новая папка\Project1\Source.cpp(18,60): error C2059: синтаксическая ошибка: !
E:\Новая папка\Project1\Source.cpp(21,34): error C2065: Store: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(21,40): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "final"
E:\Новая папка\Project1\Source.cpp(21,40): error C2065: final: необъявленный идентификатор
E:\Новая папка\Project1\Source.cpp(21,46): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "count"
E:\Новая папка\Project1\Source.cpp(22,5): error C2143: синтаксическая ошибка: отсутствие ";" перед "}"
